,neighborhood,Name,tree_count,tree_total,tree_percentage
0,ARGENTARIO,Celtis australis,61,454,13.43612334801762
1,ARGENTARIO,Acer campestre,34,454,7.488986784140969
2,ARGENTARIO,Quercus robur,25,454,5.506607929515418
3,ARGENTARIO,Cupressus,25,454,5.506607929515418
4,ARGENTARIO,Pinus nigra,23,454,5.066079295154185
5,BONDONE,Tilia x europaea,28,292,9.58904109589041
6,BONDONE,Pyrus calleryana,25,292,8.561643835616438
7,BONDONE,Cupressus sempervirens,24,292,8.21917808219178
8,BONDONE,Cupressus,23,292,7.876712328767123
9,BONDONE,Prunus avium,22,292,7.534246575342466
10,CENTRO STORICO PIEDICASTELLO,Celtis australis,242,2964,8.16464237516869
11,CENTRO STORICO PIEDICASTELLO,Platanus x hispanica,192,2964,6.477732793522267
12,CENTRO STORICO PIEDICASTELLO,Carpinus betulus,159,2964,5.364372469635628
13,CENTRO STORICO PIEDICASTELLO,Sophora japonica,114,2964,3.8461538461538463
14,CENTRO STORICO PIEDICASTELLO,Acer negundo,99,2964,3.340080971659919
15,GARDOLO,Tilia cordata,216,1651,13.08298001211387
16,GARDOLO,Celtis australis,211,1651,12.780133252574197
17,GARDOLO,Platanus x hispanica,169,1651,10.236220472440944
18,GARDOLO,Sophora japonica,158,1651,9.569957601453664
19,GARDOLO,Tilia x europaea,105,1651,6.359781950333132
20,MATTARELLO,Cupressus,25,264,9.469696969696969
21,MATTARELLO,Celtis australis,25,264,9.469696969696969
22,MATTARELLO,Crataegus,21,264,7.954545454545454
23,MATTARELLO,Carpinus betulus,13,264,4.924242424242424
24,MATTARELLO,Quercus robur,13,264,4.924242424242424
25,MEANO,Quercus robur,33,206,16.019417475728158
26,MEANO,Cupressus,20,206,9.70873786407767
27,MEANO,Fagus sylvatica,19,206,9.223300970873787
28,MEANO,Tilia x europaea,19,206,9.223300970873787
29,MEANO,Acer pseudoplatanus,16,206,7.766990291262135
30,OLTREFERSINA,Celtis australis,341,2695,12.653061224489795
31,OLTREFERSINA,Pinus nigra,145,2695,5.380333951762523
32,OLTREFERSINA,Acer campestre,128,2695,4.749536178107607
33,OLTREFERSINA,Carpinus betulus,126,2695,4.675324675324675
34,OLTREFERSINA,Robinia pseudoacacia,120,2695,4.452690166975881
35,POVO,Prunus avium,23,189,12.16931216931217
36,POVO,Celtis australis,21,189,11.11111111111111
37,POVO,Ostrya carpinifolia,17,189,8.994708994708994
38,POVO,Tilia x europaea,16,189,8.465608465608465
39,POVO,Cupressus,14,189,7.4074074074074066
40,RAVINA-ROMAGNANO,Tilia cordata,34,319,10.658307210031348
41,RAVINA-ROMAGNANO,Platanus x hispanica,23,319,7.210031347962382
42,RAVINA-ROMAGNANO,Pinus nigra,19,319,5.956112852664576
43,RAVINA-ROMAGNANO,Tilia x europaea,18,319,5.6426332288401255
44,RAVINA-ROMAGNANO,Morus alba,18,319,5.6426332288401255
45,S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,405,3024,13.392857142857142
46,S.GIUSEPPE-S.CHIARA,Cupressus,212,3024,7.01058201058201
47,S.GIUSEPPE-S.CHIARA,Acer campestre,181,3024,5.985449735449736
48,S.GIUSEPPE-S.CHIARA,Prunus cerasifera,157,3024,5.191798941798941
49,S.GIUSEPPE-S.CHIARA,Parrotia persica,147,3024,4.861111111111112
50,SARDAGNA,Acer pseudoplatanus,11,38,28.947368421052634
51,SARDAGNA,Parrotia persica,9,38,23.684210526315788
52,SARDAGNA,Robinia pseudoacacia,6,38,15.789473684210526
53,SARDAGNA,Cupressus,6,38,15.789473684210526
54,SARDAGNA,Acer platanoides,2,38,5.263157894736842
55,VILLAZZANO,Tilia cordata,35,416,8.413461538461538
56,VILLAZZANO,Carpinus betulus,33,416,7.9326923076923075
57,VILLAZZANO,Prunus avium,33,416,7.9326923076923075
58,VILLAZZANO,Gleditsia triacanthos,27,416,6.490384615384616
59,VILLAZZANO,Cupressus,25,416,6.009615384615385
